,labels,images,annotation_image_filename,classes_array,num_classes,classes_integer,classes_present_integer,classes_present_array,pen_width,CRF_theta,CRF_mu,CRF_downsample_factor,Classifier_downsample_factor,prob_of_unary_potential,doodle_spatial_density,num_of_scales,acc_georef,epsg,year,month,day,hour,minute,second,XMin,XMax,YMin,YMax,LonMin,LonMax,LatMin,LatMax,CRS,px_size_m,ImageHeightPx,ImageWidthPx,ImageBands
0,labels/chunk1_m_2808028_nw_17_1_20151017_multiband_canaveral_site116_ID3_label.jpg,images/chunk1_m_2808028_nw_17_1_20151017_multiband_canaveral_site116_ID3.jpg,npz/chunk1_m_2808028_nw_17_1_20151017_multiband_canaveral_site116_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development'",2,1,1,3,3,0.9,0.052999959105663,3,6,26911,2014,6,3,12,0,0,476356,477102,3619151,3621076,-117.252282022961,-117.244369600006,32.7098611494215,32.7272417610637,"""NAD83 / UTM zone 17N""",1,1925,746,3
1,labels/chunk1_m_3211706_se_11_060_20180821_20190412_multiband_ID1_label.jpg,images/chunk1_m_3211706_se_11_060_20180821_20190412_multiband_ID1.jpg,npz/chunk1_m_3211706_se_11_060_20180821_20190412_multiband_ID1.npz,"'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural', 'development', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural'",3,1,1,2,1,0.9,0.107605234544889,3,6,26911,2014,9,1,12,0,0,269206,269681,3808463,3808845,-119.510476270742,-119.50541640375,34.3918587930102,34.3954063732405,"""NAD83 / UTM zone 11N""",1,382,475,3
2,labels/chunk1_m_3211706_se_11_1_20120519_multiband_ID1_label.jpg,images/chunk1_m_3211706_se_11_1_20120519_multiband_ID1.jpg,npz/chunk1_m_3211706_se_11_1_20120519_multiband_ID1.npz,"'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural', 'development', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural'",3,1,1,2,1,0.9,0.138299626558029,3,6,26911,2014,9,1,12,0,0,269206,269681,3808463,3808845,-119.510476270742,-119.50541640375,34.3918587930102,34.3954063732405,"""NAD83 / UTM zone 11N""",1,382,475,3
3,labels/chunk1_m_3211706_se_11_1_20140603_multiband_ID1_label.jpg,images/chunk1_m_3211706_se_11_1_20140603_multiband_ID1.jpg,npz/chunk1_m_3211706_se_11_1_20140603_multiband_ID1.npz,"'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural', 'development', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural'",3,1,1,2,1,0.9,0.154795744019881,3,6,26911,2014,8,16,12,0,0,291125,292234,3794207,3795019,-119.268762078716,-119.256920176566,34.2680523912215,34.2755920769853,"""NAD83 / UTM zone 11N""",1,812,1109,3
4,labels/chunk1_m_3211706_se_11_h_20160629_multiband_ID1_label.jpg,images/chunk1_m_3211706_se_11_h_20160629_multiband_ID1.jpg,npz/chunk1_m_3211706_se_11_h_20160629_multiband_ID1.npz,"'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural', 'development', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural'",3,1,1,2,1,0.9,0.120253766697732,3,6,26911,2014,9,1,12,0,0,308390,308959,3775125,3775587,-119.077125090462,-119.071061943523,34.0993997628371,34.103667825716,"""NAD83 / UTM zone 11N""",1,462,569,3
5,labels/chunk1_m_3211714_ne_11_1_20140603_multiband_san_diego_site7_ID3_label.jpg,images/chunk1_m_3211714_ne_11_1_20140603_multiband_san_diego_site7_ID3.jpg,npz/chunk1_m_3211714_ne_11_1_20140603_multiband_san_diego_site7_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","4, 5, 6, 7, 8","'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata'",2,1,41,3,3,0.9,0.111731248619481,3,6,26910,2012,5,20,12,0,0,641565,642070,3970778,3971267,-121.43189433506,-121.426215197734,35.8710187125618,35.8753527949991,"""NAD83 / UTM zone 11N""",1,489,505,3
6,labels/chunk1_m_3211714_se_11_060_20190317_20190412_multiband_ID1_label.jpg,images/chunk1_m_3211714_se_11_060_20190317_20190412_multiband_ID1.jpg,npz/chunk1_m_3211714_se_11_060_20190317_20190412_multiband_ID1.npz,"'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural', 'development', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural'",3,1,1,2,1,0.9,0.069667844316195,3,6,26910,2014,6,13,12,0,0,641565,642070,3970778,3971267,-121.43189433506,-121.426215197734,35.8710187125618,35.8753527949991,"""NAD83 / UTM zone 11N""",1,489,505,3
7,labels/chunk1_m_3211714_se_11_1_20100503_multiband_ID1_label.jpg,images/chunk1_m_3211714_se_11_1_20100503_multiband_ID1.jpg,npz/chunk1_m_3211714_se_11_1_20100503_multiband_ID1.npz,"'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural', 'development', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6, 7, 8","'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural', 'development', 'nodata'",3,1,1,2,1,0.9,0.102784143215557,3,6,26910,2016,6,25,12,0,0,641565,642070,3970778,3971267,-121.43189433506,-121.426215197734,35.8710187125618,35.8753527949991,"""NAD83 / UTM zone 11N""",1,489,505,3
8,labels/chunk1_m_3211714_se_11_1_20120519_multiband_ID1_label.jpg,images/chunk1_m_3211714_se_11_1_20120519_multiband_ID1.jpg,npz/chunk1_m_3211714_se_11_1_20120519_multiband_ID1.npz,"'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural', 'development', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6, 7, 8","'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural', 'development', 'nodata'",3,1,1,2,1,0.9,0.103173906546665,3,6,26918,2011,6,8,12,0,0,420509,421589,4039812,4041210,-75.8876129091075,-75.8756966234125,36.5003394091324,36.5130302606649,"""NAD83 / UTM zone 11N""",1,1398,1080,3
9,labels/chunk1_m_3211723_se_11_060_20190317_20190412_multiband_ID1_label.jpg,images/chunk1_m_3211723_se_11_060_20190317_20190412_multiband_ID1.jpg,npz/chunk1_m_3211723_se_11_060_20190317_20190412_multiband_ID1.npz,"'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural', 'development', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_bare_natural_terrain', 'marsh_vegetation', 'terrestrial_vegetation', 'agricultural'",3,1,1,2,1,0.9,0.129228475001962,3,6,26910,2018,8,15,12,0,0,607852,608050,4073487,4074234,-121.791021610995,-121.78869650974,36.8010747082954,36.8077846200743,"""NAD83 / UTM zone 11N""",1,747,198,3
